Cod_SBS|Cod_Emp|Tip_Credit|Nivel2|Moneda|Condicion|Val_Saldo|Clasif_Deu|Cod_Cuenta
38518267.0|0014|1|1|1|01490|000|0|115030202000
38518267.0|0014|1|8|1|04270|000|0|813020000000
38518267.0|0014|1|1|1|00000|000|0|119030100000
38518267.0|0014|1|8|1|00000|000|0|819230000000
29280002.0|0048|1|8|1|62330|000|0|813020000000
16584398.0|0048|1|8|1|68790|000|0|813020000000
16584398.0|0048|1|8|2|79910|000|0|823020000000
50957942.0|0000|1|8|1|46970|000|0|813020000000
15096683.0|0022|1|8|1|52030|000|0|813020000000
15096683.0|0022|1|8|1|51960|000|0|813020000000
15096683.0|0022|1|8|1|51860|000|0|813020000000
60727236.0|0022|1|8|1|51380|000|0|813020000000
10231183.0|0000|1|7|1|00000|000|0|715060300000
10231183.0|0000|1|8|1|00000|000|0|819230000000
31769230.0|0006|1|1|1|00000|000|0|119030600000
31769230.0|0006|1|1|1|00000|000|0|118030000000
31769230.0|0007|1|7|1|00000|000|0|715060300000
31769230.0|0006|1|8|1|00000|000|0|819370301000
31769230.0|0007|1|8|1|00000|000|0|819230000000
31769230.0|0006|1|1|1|00000|000|0|111030603000
21101117.0|0010|1|7|1|00000|000|0|715030301000
21101117.0|0006|1|1|1|00000|000|0|118030000000
21101117.0|0006|1|1|1|00000|000|0|111030603000
21101117.0|0010|9|8|1|00000|000|0|814090000000
21101117.0|0010|1|1|1|00000|000|0|119030600000
21101117.0|0010|1|1|1|00000|000|0|118030000000
21101117.0|0010|1|1|1|00000|000|0|111031300000
21101117.0|0010|1|1|1|00000|000|0|118030000000
21101117.0|0006|1|1|1|00000|000|0|119030600000
21101117.0|0006|1|8|1|00000|000|0|819370301000
21101117.0|0010|1|2|1|00000|000|0|211010100000
21101117.0|0010|1|1|1|00000|000|0|111030601000
21101117.0|0010|1|1|1|00000|000|0|119030600000
21101117.0|0010|1|8|1|00000|000|0|819370301000
54255306.0|0007|1|7|1|00000|000|0|715060300000
54255306.0|0007|1|1|1|00000|000|0|119030600000
54255306.0|0000|1|1|1|00000|000|0|118030000000
54255306.0|0010|1|1|1|00000|000|0|119030600000
54255306.0|0007|1|1|1|00000|000|0|118030000000
54255306.0|0010|1|8|1|00000|000|0|819370301000
54255306.0|0000|1|8|1|00000|000|0|819230000000
54255306.0|0007|1|8|1|00000|000|0|819230000000
54255306.0|0007|1|1|1|00000|000|0|115010200000
54255306.0|0012|1|8|1|00000|000|0|819230000000
54255306.0|0007|1|1|1|00000|000|0|111030209000
54255306.0|0010|1|1|1|00000|000|0|111030603000
54255306.0|0007|1|1|1|00000|000|0|111030201000
54255306.0|0012|1|7|1|00000|000|0|715060300000
54255306.0|0010|1|1|1|00000|000|0|118030000000
54255306.0|0000|1|7|1|00000|000|0|715060300000
54255306.0|0007|1|8|1|00000|000|0|819370301000
29331855.0|0039|1|8|1|26160|000|0|813020000000
19088693.0|0022|1|8|1|58540|000|0|813020000000
34134472.0|0000|1|1|1|00000|000|0|118040000000
34134472.0|0014|1|1|1|00000|000|0|115010200000
34134472.0|0000|1|8|1|00000|000|0|814051000000
34134472.0|0014|1|1|1|00000|000|0|111030202000
34134472.0|0000|1|8|1|00000|000|0|814030000000
34134472.0|0000|1|8|1|00150|000|0|814020102000
34134472.0|0014|1|7|1|00000|000|0|715060300000
34134472.0|0000|1|1|1|00000|000|0|111042300000
34134472.0|0014|1|8|1|00000|000|0|819230000000
12857349.0|0010|1|8|1|00000|000|0|819250000000
40885820.0|0000|1|8|1|07780|000|0|813020000000
40885820.0|0014|1|8|1|13700|000|0|813020000000
103266807.0|0010|0|8|1|00000|000|0|814051100000
103266807.0|0010|0|8|1|00000|000|0|814090000000
103266807.0|0010|0|8|1|00000|000|0|818011301000
103266807.0|0010|0|1|1|00000|000|0|111130602000
103266807.0|0010|0|8|1|00000|000|0|818011302000
103266807.0|0010|0|8|1|00000|000|0|814100000000
103266807.0|0010|0|1|1|00000|000|0|118130000000
103266807.0|0010|0|1|1|00000|000|0|118130000000
103266807.0|0010|0|1|1|00000|000|0|111130602000
138699242.0|0012|0|8|1|00000|000|0|814051100000
138699242.0|0012|0|8|1|00000|000|0|818011302000
138699242.0|0010|0|1|1|00000|000|0|111130602000
138699242.0|0012|0|8|1|00000|000|0|814100000000
138699242.0|0012|0|8|1|00000|000|0|818011301000
138699242.0|0012|0|7|1|00000|000|0|715031300000
138699242.0|0010|0|1|1|00000|000|0|118130000000
138699242.0|0012|0|8|1|00000|000|0|814090000000
138699242.0|0010|0|8|1|00000|000|0|814100000000
138699242.0|0012|0|1|1|00000|000|0|111130602000
138699242.0|0012|0|1|1|00000|000|0|118130000000
119530580.0|0000|0|8|1|03690|000|0|813020000000
119530580.0|0000|0|7|1|00000|000|0|715061300000
112495746.0|0000|1|1|1|00000|000|0|111020209000
112495746.0|0000|1|7|1|00000|000|0|715060200000
112495746.0|0000|1|8|1|00000|000|0|819370201000
112495746.0|0000|1|1|1|00000|000|0|111020602000
112495746.0|0000|1|2|1|00000|000|0|211020100000
112495746.0|0000|1|8|1|00000|000|0|818010202000
112495746.0|0000|1|1|1|00000|000|0|118020000000
112495746.0|0000|1|8|1|00000|000|0|818010201000
112495746.0|0000|1|1|1|00000|000|0|111020201000
112495746.0|0000|1|8|1|00000|000|0|814051100000
101647200.0|0000|1|1|1|00000|000|0|111020201000
101647200.0|0000|1|7|1|00000|000|0|715060200000
101647200.0|0000|9|8|2|27600|000|0|824020900000
101647200.0|0000|1|1|1|00000|000|0|118020000000
